[2026-09-04T20:10:53.379Z] GET http://127.0.0.1:8765/ → 200 (5ms, ?B)
[2026-09-04T20:10:53.389Z] GET http://127.0.0.1:8765/styles.css → 200 (1ms, ?B)
[2026-09-04T20:10:53.389Z] GET http://127.0.0.1:8765/assets/hr-search.jpg → 200 (3ms, ?B)
[2026-09-04T20:10:53.389Z] GET http://127.0.0.1:8765/assets/hr-course.jpg → 200 (3ms, ?B)
[2026-09-04T20:10:53.389Z] GET http://127.0.0.1:8765/assets/shots/course-page.png → 200 (4ms, ?B)
[2026-09-04T20:10:53.389Z] GET http://127.0.0.1:8765/main.js → pending (?ms, ?B)
[2026-09-04T20:10:53.415Z] GET http://127.0.0.1:8765/assets/shots/search-results.png → 200 (5ms, 560117B)
[2026-09-04T20:12:08.051Z] GET http://127.0.0.1:8765/ → 200 (3ms, 17758B)
[2026-09-04T20:12:08.059Z] GET http://127.0.0.1:8765/styles.css → 304 (2ms, ?B)
[2026-09-04T20:12:08.059Z] GET http://127.0.0.1:8765/assets/hr-search.jpg → 304 (2ms, ?B)
[2026-09-04T20:12:08.059Z] GET http://127.0.0.1:8765/assets/hr-course.jpg → 304 (2ms, ?B)
[2026-09-04T20:12:08.059Z] GET http://127.0.0.1:8765/assets/shots/course-page.png → 304 (2ms, ?B)
[2026-09-04T20:12:08.059Z] GET http://127.0.0.1:8765/main.js → 304 (3ms, ?B)
[2026-09-04T20:12:08.067Z] GET http://127.0.0.1:8765/assets/shots/search-results.png → 304 (2ms, ?B)
[2026-09-04T20:13:10.491Z] GET http://127.0.0.1:8765/ → 200 (3ms, 17736B)
[2026-09-04T20:13:10.498Z] GET http://127.0.0.1:8765/styles.css → 200 (2ms, 16196B)
[2026-09-04T20:13:10.498Z] GET http://127.0.0.1:8765/assets/hr-search.jpg → 200 (?ms, 449374B)
[2026-09-04T20:13:10.499Z] GET http://127.0.0.1:8765/assets/hr-course.jpg → 200 (?ms, 208480B)
[2026-09-04T20:13:10.499Z] GET http://127.0.0.1:8765/assets/shots/course-page.png → 304 (1ms, ?B)
[2026-09-04T20:13:10.499Z] GET http://127.0.0.1:8765/main.js → 304 (1ms, ?B)
[2026-09-04T20:13:10.523Z] GET http://127.0.0.1:8765/assets/shots/search-results.png → pending (?ms, ?B)
[2026-09-04T20:13:22.592Z] GET http://127.0.0.1:8765/ → 200 (2ms, 17736B)
[2026-09-04T20:13:22.598Z] GET http://127.0.0.1:8765/styles.css → 304 (2ms, ?B)
[2026-09-04T20:13:22.598Z] GET http://127.0.0.1:8765/assets/hr-search.jpg → 304 (2ms, ?B)
[2026-09-04T20:13:22.598Z] GET http://127.0.0.1:8765/assets/hr-course.jpg → 304 (4ms, ?B)
[2026-09-04T20:13:22.598Z] GET http://127.0.0.1:8765/assets/shots/course-page.png → 200 (1ms, 203890B)
[2026-09-04T20:13:22.599Z] GET http://127.0.0.1:8765/main.js → 200 (1ms, 9940B)
[2026-09-04T20:13:22.600Z] GET http://127.0.0.1:8765/assets/shots/search-results.png → 200 (?ms, 560117B)
[2026-09-04T20:37:47.859Z] GET http://127.0.0.1:8765/ → 200 (29ms, 19400B)
[2026-09-04T20:37:47.942Z] GET http://127.0.0.1:8765/styles.css → 200 (2ms, 16555B)
[2026-09-04T20:37:47.942Z] GET http://127.0.0.1:8765/assets/hr-search.jpg → 304 (2ms, ?B)
[2026-09-04T20:37:47.944Z] GET http://127.0.0.1:8765/assets/hr-course.jpg → 304 (1ms, ?B)
[2026-09-04T20:37:47.944Z] GET http://127.0.0.1:8765/assets/shots/course-page.png → 304 (1ms, ?B)
[2026-09-04T20:37:47.944Z] GET http://127.0.0.1:8765/main.js → 304 (48ms, ?B)
[2026-09-04T20:37:47.987Z] GET http://127.0.0.1:8765/assets/shots/search-results.png → 304 (10ms, ?B)
